Date (2022) | Stage/Group | Team 1 | Score | Team 2 | Stadium | City | Attendance | Referee
Nov 20 | Group A | Qatar | 0–2 | Ecuador | Al Bayt Stadium | Al Khor | 67,372 | Daniele Orsato (Italy)
Nov 21 | Group B | England | 6–2 | Iran | Khalifa Int’l Stadium | Al Rayyan | 45,334 | Raphael Claus (Brazil)
Nov 21 | Group A | Senegal | 0–2 | Netherlands | Al Thumama Stadium | Doha | 41,721 | Wilton Sampaio (Brazil)
Nov 21 | Group B | USA | 1–1 | Wales | Ahmad bin Ali Stadium | Al Rayyan | 43,418 | Abdulrahman Al-Jassim (Qatar)
Nov 22 | Group C | Argentina | 1–2 | Saudi Arabia | Lusail Iconic Stadium | Lusail | 88,012 | Slavko Vinčić (Slovenia)
Nov 22 | Group D | Denmark | 0–0 | Tunisia | Education City Stadium | Al Rayyan | 42,925 | César Ramos (Mexico)
Nov 22 | Group C | Mexico | 0–0 | Poland | Stadium 974 | Doha | 39,369 | Chris Beath (Australia)
Nov 22 | Group D | France | 4–1 | Australia | Al Janoub Stadium | Al Wakrah | 40,875 | Victor Gomes (South Africa)
Nov 23 | Group F | Morocco | 0–0 | Croatia | Al Bayt Stadium | Al Khor | 59,407 | Fernando Rapallini (Argentina)
Nov 23 | Group E | Germany | 1–2 | Japan | Khalifa Int’l Stadium | Al Rayyan | 42,608 | Iván Barton (El Salvador)
Nov 23 | Group E | Spain | 7–0 | Costa Rica | Al Thumama Stadium | Doha | 40,013 | Mohammed Abdulla Hassan (UAE)
Nov 23 | Group F | Belgium | 1–0 | Canada | Ahmad bin Ali Stadium | Al Rayyan | 40,432 | Janny Sikazwe (Zambia)
Nov 24 | Group G | Switzerland | 1–0 | Cameroon | Al Janoub Stadium | Al Wakrah | 39,089 | Facundo Tello (Argentina)
Nov 24 | Group H | Uruguay | 0–0 | South Korea | Education City Stadium | Al Rayyan | 41,663 | Clément Turpin (France)
Nov 24 | Group H | Portugal | 3–2 | Ghana | Stadium 974 | Doha | 42,662 | Ismail Elfath (USA)
Nov 24 | Group G | Brazil | 2–0 | Serbia | Lusail Iconic Stadium | Lusail | 88,103 | Alireza Faghani (Iran)
Nov 25 | Group B | Wales | 0–2 | Iran | Ahmad bin Ali Stadium | Al Rayyan | 40,875 | Mario Escobar (Guatemala)
Nov 25 | Group A | Qatar | 1–3 | Senegal | Al Thumama Stadium | Doha | 41,797 | Antonio Mateu Lahoz (Spain)
Nov 25 | Group A | Netherlands | 1–1 | Ecuador | Khalifa Int’l Stadium | Al Rayyan | 44,833 | Mustapha Ghorbal (Algeria)
Nov 25 | Group B | England | 0–0 | USA | Al Bayt Stadium | Al Khor | 68,463 | Jesús Valenzuela (Venezuela)
Nov 26 | Group D | Tunisia | 0–1 | Australia | Al Janoub Stadium | Al Wakrah | 41,823 | Daniel Siebert (Germany)
Nov 26 | Group C | Poland | 2–0 | Saudi Arabia | Education City Stadium | Al Rayyan | 44,259 | Wilton Sampaio (Brazil)
Nov 26 | Group D | France | 2–1 | Denmark | Stadium 974 | Doha | 42,860 | Szymon Marciniak (Poland)
Nov 26 | Group C | Argentina | 2–0 | Mexico | Lusail Iconic Stadium | Lusail | 88,966 | Daniele Orsato (Italy)
Nov 27 | Group E | Japan | 0–1 | Costa Rica | Ahmad bin Ali Stadium | Al Rayyan | 41,479 | Michael Oliver (England)
Nov 27 | Group F | Belgium | 0–2 | Morocco | Al Thumama Stadium | Doha | 43,738 | César Ramos (Mexico)
Nov 27 | Group F | Croatia | 4–1 | Canada | Khalifa Int’l Stadium | Al Rayyan | 44,374 | Andrés Matonte (Uruguay)
Nov 27 | Group E | Spain | 1–1 | Germany | Al Bayt Stadium | Al Khor | 68,895 | Danny Makkelie (Netherlands)
Nov 28 | Group G | Cameroon | 3–3 | Serbia | Al Janoub Stadium | Al Wakrah | 39,789 | Mohammed Abdulla Hassan (UAE)
Nov 28 | Group H | South Korea | 2–3 | Ghana | Education City Stadium | Al Rayyan | 45,307 | Anthony Taylor (England)
Nov 28 | Group G | Brazil | 1–0 | Switzerland | Stadium 974 | Doha | 43,649 | Ivan Barton (El Salvador)
Nov 28 | Group H | Portugal | 2–0 | Uruguay | Lusail Iconic Stadium | Lusail | 88,668 | Alireza Faghani (Iran)
Nov 29 | Group A | Netherlands | 2–0 | Qatar | Al Bayt Stadium | Al Khor | 66,784 | Bakary Gassama (Gambia)
Nov 29 | Group A | Ecuador | 1–2 | Senegal | Khalifa Int’l Stadium | Al Rayyan | 44,569 | Clément Turpin (France)
Nov 29 | Group B | Wales | 0–3 | England | Ahmad bin Ali Stadium | Al Rayyan | 44,297 | Slavko Vinčić (Slovenia)
